,links
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling? An Extensive Empirical Study on Language Tasks,https://openreview.net/forum?id=Wrtp36cbl61
Cross-Lingual Event Detection via Optimized Adversarial Training,https://openreview.net/forum?id=Lc66vCjVidE
"Probing, Generalization and Application of Metaphorical Knowledge in Pre-trained Language Models",https://openreview.net/forum?id=dhHpdiUiwrP
Consistent Crosslingual Data Transfer for Open Information Extraction,https://openreview.net/forum?id=iq_Jkbwe-kV
An Empirical Study of Document-to-document Neural Machine Translation,https://openreview.net/forum?id=lTbIVRBq8Ta
MarkBERT: Marking Word Boundaries Improves Chinese BERT,https://openreview.net/forum?id=dJ0jXhQ9YHd
Human Schema Curation via Causal Association Rule Mining,https://openreview.net/forum?id=nyB0xsto715
A Simple and Effective Model for Multi-Hop Question Generation,https://openreview.net/forum?id=IV5YUaQ4pzG
Modeling Multi-granularity Segmentation for Rare Words in Neural Machine Translation,https://openreview.net/forum?id=WiZ3Z2HChE0
GraphPrompt: Biomedical Entity Normalization Using Graph-based Prompt Templates,https://openreview.net/forum?id=lUegilCk6TY
Can Language Models Make Fun? A Case Study in Chinese Comical Crosstalk,https://openreview.net/forum?id=htpgN820kub
Improving Personalized Dialogue Generation Models with Data-level Distillation and Diversification,https://openreview.net/forum?id=yaU2ZfyVFgF
Towards Comprehensive Patent Approval Predictions:Beyond Traditional Document Classification,https://openreview.net/forum?id=oQ43ZecmCwe
EIDER: Evidence-enhanced Document-level Relation Extraction,https://openreview.net/forum?id=0B-Sz3m7KH5
DocEE: A Large-Scale Dataset for Document-level Event Extraction,https://openreview.net/forum?id=t5zJTjgwngX
Enhancing the Nonlinear Mutual Dependencies in Transformers with Mutual Information,https://openreview.net/forum?id=Dys8zbWqW3C
AMR-to-text Generation with Graph Structure Reconstruction and Coverage,https://openreview.net/forum?id=6zZEZD2LsxW
Rebuild and Ensemble: Exploring Defense Against Text Adversaries,https://openreview.net/forum?id=l3UVZ30slvl
Learning Emotion-Aware Contextual Representations for Emotion Cause Analysis,https://openreview.net/forum?id=8yJ0RpqNppY
CDM: Combining Extraction and Generation for Definition Modeling,https://openreview.net/forum?id=wVdX61hrmpK
SOS: Systematic Offensive Stereotyping Bias in Word Embeddings,https://openreview.net/forum?id=i7DhBQrfi-e
Graph Neural Networks for Multiparallel Word Alignment,https://openreview.net/forum?id=b61q_mqtf31
Achieving Reliable Human Assessment of Open-Domain Dialogue Systems,https://openreview.net/forum?id=7SQh5IvfeLq
Should a Bot be Sarcastic? Understanding User Preferences Towards Sarcasm Generation,https://openreview.net/forum?id=kV-PzsxIUu2
Towards Overcoming Practical Obstacles to Deploying Deep Active Learning,https://openreview.net/forum?id=Ch1K-07jfmy
Fuse and Rephrase: Efficient Low-Resource Data-to-Text Generation,https://openreview.net/forum?id=9WIYi_ruQhQ
A Survey on Geocoding: Algorithms and Datasets for Toponym Resolution,https://openreview.net/forum?id=NVhMSb0UM0x
Knowledge Neurons in Pretrained Transformers,https://openreview.net/forum?id=XZDvxFlNi6G
Personalized News Recommendation with Candidate-aware User Modeling,https://openreview.net/forum?id=8jL2PN3iY3M
Learning Functional Distributional Semantics with Visual Data,https://openreview.net/forum?id=HJSSYU3swSj
Pseudo-Error Generation for Grammatical Error Correction Based on Learner\\u2019s First Language,https://openreview.net/forum?id=2CkBtUsrKbs
Benchmarking Answer Verification Methods for Question Answering-Based Summarization Evaluation Metrics,https://openreview.net/forum?id=AnaQAjSkPXg
A Variational Hierarchical Model for Neural Cross-Lingual Summarization,https://openreview.net/forum?id=mB_pLPuO7S_
