,Links
Distill and Calibrate: Denoising Inconsistent Labeling Instances for Chinese Named Entity Recognition,https://openreview.net/forum?id=H_LmmxjQrqw
Translating Embeddings in Document for Modeling Multi-relational Graphs,https://openreview.net/forum?id=BHUCb6_xBde
Uncertainty-Based Joint Training For Semi-Supervised Math Word Problem,https://openreview.net/forum?id=pIV0eeYD6E0
FairLex: A Multilingual Benchmark for Evaluating Fairness in Legal Text Processing,https://openreview.net/forum?id=zn-TaFtaFaK
Alleviating the Sparsity of Open Knowledge Graphs with Pretrained Contrastive Learning,https://openreview.net/forum?id=0TReq1EztTt
Efficient Speech Translation with Pre-trained models,https://openreview.net/forum?id=nk_mwxAKbpB
Data Contamination: From Memorization to Exploitation,https://openreview.net/forum?id=IQv9ssIpU7K
Multi-Stage Framework with Refinement based Point Set Registration for Unsupervised Bi-Lingual Word Alignment,https://openreview.net/forum?id=z7KsNClgofB
Retrieval Data Augmentation Informed by Downstream Question Answering Performance,https://openreview.net/forum?id=e3ujixkK9yS
Breaking Down Questions for Outside-Knowledge Visual Question Answering,https://openreview.net/forum?id=eJi5Pvh08VY
LOPS: Learning Order Inspired Pseudo-Label Selection for Weakly Supervised Text Classification,https://openreview.net/forum?id=jHjDCY-fvSk
Ask Me Anything in Your Native Language,https://openreview.net/forum?id=OJYPlFa4rmX
BERT got a Date: Introducing Transformers to Temporal Tagging,https://openreview.net/forum?id=9onUW-cjTl8
XLTime: A Cross-Lingual Knowledge Transfer Framework for Zero-Shot Low-Resource Language Temporal Expression Extraction,https://openreview.net/forum?id=Ij9UXxQGNmD
Improving the Faithfulness of Abstractive Summarization via Entity Coverage Control,https://openreview.net/forum?id=kT2Rnx1erjr
Active Relation Discovery: Towards General and Label-aware OpenRE,https://openreview.net/forum?id=moQDm_ezXNA
Learning Disentangled Representations in Natural Language Definitions with Semantic Role Labeling Supervision,https://openreview.net/forum?id=rm893aOESdu
How does the pre-training objective affect what large language models learn about linguistic properties?,https://openreview.net/forum?id=SGgyIY2Xro
Cross-cultural Emotion Classification: the Effect of Emotional Intensity and Acoustic Features,https://openreview.net/forum?id=eHVLwJiOlYi
DialogVED: A Pre-trained Latent Variable Encoder-Decoder Model for Dialog Response Generation,https://openreview.net/forum?id=WuVA5LBX5zf
Probing the Robustness of Trained Metrics for Conversational Dialogue Systems,https://openreview.net/forum?id=DsJO6wBxsF-
OneAligner: Zero-shot Cross-lingual Transfer with One Rich-Resource Language Pair for Low-Resource Sentence Retrieval,https://openreview.net/forum?id=FAMbf9YpKc3
"Interpreting character embeddings with perceptual representations: the case of shape, sound, and color",https://openreview.net/forum?id=YeFhaC1k5z2
"When Does Translation Require Context? A Data-driven, Multilingual Exploration",https://openreview.net/forum?id=nZU8lffa5h
CausalR: Causal Reasoning over Natural Language Rulebases,https://openreview.net/forum?id=vuAX_4bv8A
Gradient Sparsification For \\\\emph{Masked Fine-Tuning} of Transformers,https://openreview.net/forum?id=nXEiMRv7Zyq
Who Are We Talking About? Handling Person Names in Speech Translation,https://openreview.net/forum?id=3ou3-3tLTLk
Improved grammatical error correction by ranking elementary edits,https://openreview.net/forum?id=bg470UXkLqF
A New Dataset for Summarizing Radiology Reports,https://openreview.net/forum?id=hVhvWq5onI
Improved Multi-label Classification under Temporal Concept Drift: Rethinking Group-Robust Algorithms in a Label-Wise Setting,https://openreview.net/forum?id=-FrhVMO65W
Repo4QA: Answering Complex Coding Questions via Dense Retrieval on GitHub Repositories,https://openreview.net/forum?id=Vc21sdEwCqa
Bottom Up Parsing via Sequence Labeling,https://openreview.net/forum?id=CMXc3nK27q1
On the Multilingual Capabilities of Very Large-Scale English Language Models,https://openreview.net/forum?id=fSc5SCkrI-B
Discrete Wavelet Transform for Efficient Word Embeddings and Sentence Encoding,https://openreview.net/forum?id=r_I1s2hkUHP
Overcoming a Theoretical Limitation of Self-Attention,https://openreview.net/forum?id=qc9O2EtrMI-
Combating Spurious Features by Distribution Difference Regularization,https://openreview.net/forum?id=nDqz4iCHWJq
Learning to Teach with Student Feedback,https://openreview.net/forum?id=lPx3fzsTTrK
HateBR: Large expert annotated corpus of Brazilian Instagram comments for abusive language detection,https://openreview.net/forum?id=Nd1L1GfqOBS
Power Norm Based Lifelong Learning for Paraphrase Generations,https://openreview.net/forum?id=4TMv3kdrhuc
Aligned Weight Regularizers for Pruning Pretrained Neural Networks,https://openreview.net/forum?id=8Gd6ZzHJG5C
NSP-NER: A Prompt-based Learner for Few-shot NER Driven by Next Sentence Prediction,https://openreview.net/forum?id=8CRReJ4AgsG
Improving Generalizability in Implicitly Abusive Language Detection with Concept Activation Vectors,https://openreview.net/forum?id=AfBuiCDtF_0
That Slepen Al the Nyght with Open Ye! Cross-era Sequence Segmentation with Switch-memory,https://openreview.net/forum?id=RE7ONmfTw7i
A Slot Is Not Built in One Utterance: Spoken Language Dialogs with Sub-Slots,https://openreview.net/forum?id=AjLizwlktx
On Isotropy Calibration of Transformer Models ,https://openreview.net/forum?id=2E1CRNtZP6t
Leveraging Uni-Modal Self-Supervised Learning for Multimodal Audio-visual Speech Recognition,https://openreview.net/forum?id=sFZPi0Dy6XV
Lexical Gender Made Simple: A Scalable Methodology for Gender Detection with Online Lexical Databases,https://openreview.net/forum?id=KxHD64st3JL
Mixture-of-Graphs: Zero-shot Relational Learning for Knowledge Graph by Fusing Ontology and Textual Experts,https://openreview.net/forum?id=RdQXgI1pXt1
Hansel: A Chinese Few-Shot and Zero-Shot Entity Linking Benchmark,https://openreview.net/forum?id=uNL0E5IuuG
What Makes The Story Forward? Inferring Commonsense Explanations as Prompts for Future Event Generation,https://openreview.net/forum?id=hTAhTdgt0D4
Diversifying Neural Dialogue Generation via Negative Distillation,https://openreview.net/forum?id=lrPUCUl7jgK
Packed Levitated Marker for Entity and Relation Extraction,https://openreview.net/forum?id=0YD1VAUGZ-X
Predicting Attention Sparsity in Transformers,https://openreview.net/forum?id=Qu4RXfhYRKa
First Bilingual Word Embeddings for te reo M\\u0101ori and English: Towards Code-switching Detection in a Low-resourced setting,https://openreview.net/forum?id=CAd8LOkxAb
Stable Natural Language Understanding via Invariant Causal Constraint,https://openreview.net/forum?id=pqn1s7ARgYb
Sentence Selection Strategies for Distilling Word Embeddings from BERT,https://openreview.net/forum?id=VreTOiippg_
Spot the Difference: A Cooperative Object-Referring Game in Non-Perfectly Co-Observable Scene,https://openreview.net/forum?id=Jj8UMGBF0RS
Generating Summaries for Scientific Paper Review,https://openreview.net/forum?id=0sRxRtkzfd-
An Empirical Survey of the Effectiveness of Debiasing Techniques for Pre-trained Language Models,https://openreview.net/forum?id=5B-j_cnM7Oo
SlotGAN: Detecting Mentions in Text via Adversarial Distant Learning,https://openreview.net/forum?id=t5rZf5Fvz0k
Textomics: A Dataset for Genomics Data Summary Generation,https://openreview.net/forum?id=uPRJdUfb62q
The Case for a Single Model that can Both Generate Continuations and Fill-in-the-Blank,https://openreview.net/forum?id=0qmlnLlafqv
End-to-end Task-oriented Dialog Policy Learning based on Pre-trained Language Model,https://openreview.net/forum?id=FY12Sx39srI
How to Translate Your Samples and Choose Your Shots? Analyzing Translate-train & Few-shot Cross-lingual Transfer,https://openreview.net/forum?id=EsQHxNYt0u
Rethinking Offensive Text Detection as a Multi-Hop Reasoning Problem,https://openreview.net/forum?id=69pbZhLNcH
A Comprehensive and Large-Scale Dataset for Integrated Argument Mining Tasks,https://openreview.net/forum?id=TnX3iwX_6Iu
Towards Computationally Feasible Deep Active Learning,https://openreview.net/forum?id=fv41yKtPzcl
Data-Driven Adaptive Simultaneous Machine Translation,https://openreview.net/forum?id=fXPJ6aC5dQo
BERT Learns to Teach: Knowledge Distillation with Meta Learning,https://openreview.net/forum?id=hROSL4xfNpH
